epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1581.99,0.0112,6.16549,2.03202,0.8014,0.6056,0.68828,0.32806,0.01232,5.78848,2.17518,0.000952889,0.000952889,0.000952889
16,1685.83,0.01118,6.12535,2.04282,0.74941,0.6203,0.6766,0.34441,0.01184,5.81916,2.09564,0.000946048,0.000946048,0.000946048
17,1789.72,0.01126,6.16371,2.03514,0.76229,0.66919,0.69433,0.33053,0.01208,5.71899,2.11024,0.000938772,0.000938772,0.000938772
18,1893.71,0.01112,6.11032,2.02111,0.75937,0.66768,0.70012,0.33903,0.01197,5.80187,2.11045,0.000931067,0.000931067,0.000931067
19,1997.68,0.01104,5.94369,2.01773,0.80029,0.68055,0.72468,0.35645,0.01186,5.44384,2.1276,0.000922942,0.000922942,0.000922942
20,2101.81,0.01101,5.98362,2.02485,0.78541,0.67327,0.7062,0.34859,0.01158,5.57405,2.09726,0.000914405,0.000914405,0.000914405
21,2205.56,0.01102,5.90755,2.02905,0.75522,0.62831,0.68364,0.32177,0.01189,5.71778,2.11646,0.000905463,0.000905463,0.000905463
22,2310.07,0.01101,5.89129,2.02412,0.79006,0.68654,0.72808,0.36568,0.01174,5.56432,2.10201,0.000896127,0.000896127,0.000896127
23,2414.55,0.01087,5.72159,2.0168,0.78513,0.68055,0.71867,0.35555,0.01189,5.41238,2.13196,0.000886404,0.000886404,0.000886404
24,2518.98,0.01087,5.71829,2.00729,0.79882,0.67449,0.71472,0.33945,0.01226,5.55417,2.18579,0.000876305,0.000876305,0.000876305
25,2623.48,0.01074,5.72618,1.98948,0.78615,0.66238,0.7182,0.35895,0.0116,5.55119,2.09004,0.000865839,0.000865839,0.000865839
26,2728.23,0.01089,5.63454,2.00821,0.75683,0.6707,0.69025,0.33356,0.01192,5.74545,2.13957,0.000855018,0.000855018,0.000855018
27,2832.65,0.01061,5.54115,1.97883,0.82236,0.65405,0.71338,0.35206,0.01189,5.38932,2.15429,0.000843851,0.000843851,0.000843851
28,2936.97,0.01068,5.50906,1.99498,0.80934,0.65553,0.70927,0.34896,0.01177,5.43766,2.11309,0.000832349,0.000832349,0.000832349
29,3041.58,0.01067,5.52679,1.98134,0.81086,0.6321,0.71851,0.35906,0.01171,5.66346,2.10357,0.000820525,0.000820525,0.000820525
30,3146.01,0.01059,5.46085,1.98044,0.84244,0.66995,0.7347,0.36385,0.0118,5.1384,2.13836,0.000808389,0.000808389,0.000808389
31,3250.76,0.01046,5.40639,1.97391,0.82392,0.69417,0.73063,0.36273,0.01161,5.32411,2.12429,0.000795954,0.000795954,0.000795954
32,3355.26,0.01052,5.30886,1.97552,0.80516,0.67146,0.72275,0.36618,0.01134,5.388,2.06475,0.000783231,0.000783231,0.000783231
33,3459.64,0.01042,5.30604,1.95792,0.83089,0.6374,0.70845,0.36735,0.01143,5.5897,2.06503,0.000770234,0.000770234,0.000770234
34,3564.03,0.01045,5.32792,1.97109,0.81442,0.69098,0.73407,0.34775,0.01198,5.41599,2.17515,0.000756976,0.000756976,0.000756976
35,3668.48,0.01038,5.25373,1.95824,0.82379,0.68659,0.73195,0.36795,0.01164,5.28614,2.13266,0.000743468,0.000743468,0.000743468
36,3773.04,0.01033,5.25877,1.95518,0.8091,0.66734,0.72565,0.35775,0.01192,5.42138,2.13097,0.000729725,0.000729725,0.000729725
37,3877.55,0.01022,5.20817,1.93685,0.80392,0.69417,0.71804,0.34574,0.01198,5.23344,2.16233,0.000715761,0.000715761,0.000715761
38,3982.06,0.01015,5.06364,1.92157,0.85878,0.68131,0.75443,0.38314,0.01166,5.07372,2.10866,0.000701588,0.000701588,0.000701588
39,4086.49,0.01018,5.062,1.93616,0.81129,0.69647,0.73167,0.37265,0.01155,5.16638,2.09983,0.000687222,0.000687222,0.000687222
40,4190.85,0.01019,5.02519,1.94146,0.82784,0.68357,0.72803,0.35028,0.01203,5.21947,2.17188,0.000672675,0.000672675,0.000672675
41,4295.33,0.0102,4.9614,1.93713,0.82251,0.65254,0.72936,0.3492,0.01209,5.41317,2.16399,0.000657963,0.000657963,0.000657963
42,4399.9,0.01017,4.92101,1.94193,0.81271,0.68509,0.72216,0.34642,0.01201,5.33657,2.17271,0.000643101,0.000643101,0.000643101
43,4504.39,0.01017,4.89513,1.93502,0.83779,0.68813,0.73881,0.37685,0.01154,4.96619,2.10029,0.000628101,0.000628101,0.000628101
44,4608.69,0.01006,4.85067,1.9192,0.81046,0.68622,0.72695,0.34205,0.01206,5.37242,2.16366,0.000612981,0.000612981,0.000612981
45,4713.14,0.0101,4.90008,1.93211,0.87143,0.64649,0.73245,0.35723,0.012,5.46441,2.16236,0.000597754,0.000597754,0.000597754
46,4817.68,0.01004,4.81037,1.9236,0.78871,0.67819,0.72748,0.33657,0.01234,5.41392,2.19761,0.000582435,0.000582435,0.000582435
47,4922.12,0.01004,4.76939,1.91229,0.85222,0.66919,0.74039,0.35871,0.01202,5.32128,2.14556,0.00056704,0.00056704,0.00056704
48,5026.52,0.00997,4.71018,1.91823,0.84089,0.67146,0.72929,0.34691,0.01218,5.30213,2.182,0.000551584,0.000551584,0.000551584
49,5131,0.0099,4.74187,1.90443,0.81076,0.64541,0.73075,0.3719,0.01163,5.31392,2.11541,0.000536081,0.000536081,0.000536081
50,5235.44,0.00981,4.60387,1.88779,0.8496,0.6628,0.73617,0.36489,0.0121,5.37173,2.18141,0.000520548,0.000520548,0.000520548
51,5340.84,0.00992,4.63858,1.90713,0.87187,0.68812,0.76498,0.4099,0.01106,4.79543,2.0614,0.000505,0.000505,0.000505
52,5445.26,0.00972,4.52127,1.87809,0.86625,0.68357,0.75363,0.40363,0.01101,5.01851,2.04949,0.000489452,0.000489452,0.000489452
53,5549.72,0.00966,4.38594,1.86075,0.81626,0.67373,0.73496,0.38699,0.01087,5.20418,2.08134,0.000473919,0.000473919,0.000473919
54,5654.13,0.00959,4.37228,1.85803,0.85117,0.70704,0.76379,0.40386,0.01086,4.84549,2.07933,0.000458416,0.000458416,0.000458416
55,5758.54,0.00956,4.34792,1.8565,0.84309,0.68333,0.75047,0.40094,0.01103,5.02392,2.09246,0.00044296,0.00044296,0.00044296
56,5863.76,0.00958,4.2842,1.86051,0.88979,0.69065,0.76911,0.40469,0.0109,4.84161,2.08785,0.000427565,0.000427565,0.000427565
57,5967.6,0.00942,4.18452,1.8427,0.87557,0.67979,0.75596,0.40497,0.01092,4.9802,2.04732,0.000412246,0.000412246,0.000412246
58,6072.34,0.00942,4.19129,1.84709,0.88103,0.68812,0.76296,0.41863,0.01064,4.86931,2.04201,0.000397019,0.000397019,0.000397019
59,6176.16,0.00931,4.08941,1.83727,0.87445,0.69341,0.76739,0.41135,0.01085,4.80178,2.05372,0.000381899,0.000381899,0.000381899
60,6279.84,0.00933,4.10357,1.82532,0.87788,0.71288,0.76828,0.40841,0.01113,4.74751,2.07368,0.000366899,0.000366899,0.000366899
61,6383.51,0.00927,4.01594,1.80715,0.8745,0.68584,0.75577,0.40709,0.01073,4.83199,2.07959,0.000352037,0.000352037,0.000352037
62,6487.28,0.00922,3.95651,1.80858,0.86298,0.67525,0.7452,0.40384,0.0108,4.8407,2.10998,0.000337325,0.000337325,0.000337325
63,6590.95,0.00912,3.9703,1.7962,0.90371,0.68055,0.77896,0.42494,0.01055,4.64219,2.04123,0.000322778,0.000322778,0.000322778
64,6694.76,0.00918,3.9347,1.80589,0.89018,0.68887,0.77179,0.41777,0.01075,4.78929,2.04327,0.000308412,0.000308412,0.000308412
65,6798.45,0.00919,3.85799,1.8021,0.88926,0.70098,0.77904,0.42052,0.01088,4.71807,2.08185,0.000294239,0.000294239,0.000294239
66,6902.07,0.00897,3.76754,1.77868,0.86239,0.68963,0.76146,0.40399,0.01111,4.98934,2.12011,0.000280275,0.000280275,0.000280275
67,7005.67,0.00904,3.79843,1.7817,0.88664,0.70477,0.77764,0.42014,0.01082,4.73895,2.06806,0.000266532,0.000266532,0.000266532
68,7109.35,0.00909,3.8061,1.78253,0.85628,0.7025,0.75985,0.41157,0.01086,4.84157,2.07393,0.000253024,0.000253024,0.000253024
69,7212.97,0.0089,3.70939,1.75642,0.86649,0.70553,0.75041,0.40355,0.01076,4.82164,2.08735,0.000239766,0.000239766,0.000239766
70,7316.57,0.00892,3.69977,1.76547,0.87971,0.70308,0.77065,0.41003,0.01094,4.8573,2.09376,0.000226769,0.000226769,0.000226769
71,7420.15,0.00881,3.59411,1.74623,0.85004,0.7025,0.75453,0.41567,0.01061,4.87304,2.08139,0.000214046,0.000214046,0.000214046
72,7523.92,0.00886,3.61882,1.7557,0.83805,0.72142,0.77204,0.416,0.01063,4.72868,2.08811,0.000201611,0.000201611,0.000201611
73,7627.53,0.00881,3.6137,1.75208,0.87487,0.67744,0.7549,0.4086,0.01061,4.85349,2.07341,0.000189475,0.000189475,0.000189475
74,7731.19,0.00873,3.602,1.74029,0.8671,0.70626,0.76733,0.41248,0.01088,4.73957,2.12073,0.000177651,0.000177651,0.000177651
75,7834.76,0.00868,3.50411,1.7295,0.88314,0.6919,0.76347,0.41351,0.01093,4.63335,2.13075,0.000166149,0.000166149,0.000166149
76,7938.39,0.00858,3.4366,1.71694,0.86832,0.71385,0.77787,0.4145,0.01099,4.70648,2.12839,0.000154982,0.000154982,0.000154982
77,8042.09,0.00865,3.49232,1.72165,0.88586,0.71461,0.77544,0.41278,0.01096,4.59753,2.12943,0.000144161,0.000144161,0.000144161
78,8145.85,0.0086,3.43076,1.72119,0.89101,0.69871,0.77758,0.41008,0.01113,4.6606,2.12373,0.000133695,0.000133695,0.000133695
79,8249.63,0.00856,3.4426,1.70814,0.86139,0.70097,0.75999,0.41193,0.0109,4.66362,2.11359,0.000123596,0.000123596,0.000123596
80,8353.49,0.0085,3.38192,1.70116,0.89003,0.69846,0.7712,0.41742,0.01094,4.53831,2.13793,0.000113873,0.000113873,0.000113873
81,8457.28,0.00845,3.34711,1.69556,0.88687,0.70855,0.77487,0.41212,0.01111,4.49413,2.12464,0.000104537,0.000104537,0.000104537
82,8561.18,0.00839,3.27618,1.68582,0.87799,0.70174,0.76956,0.4203,0.01088,4.62572,2.11379,9.55951e-05,9.55951e-05,9.55951e-05
83,8664.85,0.00839,3.32929,1.68049,0.89001,0.71057,0.77982,0.42159,0.01087,4.55005,2.10726,8.70577e-05,8.70577e-05,8.70577e-05
84,8768.49,0.00834,3.26717,1.66879,0.88375,0.71358,0.77658,0.41857,0.01088,4.51533,2.11976,7.89327e-05,7.89327e-05,7.89327e-05
85,8872.54,0.00834,3.27006,1.66498,0.88377,0.70553,0.78147,0.41801,0.01095,4.54918,2.13181,7.12282e-05,7.12282e-05,7.12282e-05
86,8976.13,0.0083,3.25919,1.67063,0.87256,0.72043,0.77576,0.41969,0.01072,4.54392,2.10893,6.39518e-05,6.39518e-05,6.39518e-05
87,9079.72,0.00821,3.18395,1.65533,0.88095,0.71142,0.78238,0.4216,0.0107,4.53,2.11821,5.71106e-05,5.71106e-05,5.71106e-05
88,9183.23,0.00822,3.23451,1.65548,0.89478,0.70815,0.77919,0.42026,0.01075,4.53564,2.11566,5.07115e-05,5.07115e-05,5.07115e-05
